date,time,time_formatted,year,month,day,day_of_week,type,details,location,coverage,daily_text,url,newmonth,daycount,lastdaily
6/26/18,09:00:00,9:00 AM,2018,June,26,Tuesday,President Schedule,In-Town Pool Call Time,,In-Town Pool,,,TRUE,5,FALSE
6/26/18,11:30:00,11:30 AM,2018,June,26,Tuesday,President Schedule,The President participates in the meeting with the Associated Builders and Contractors National Executive Committee,Roosevelt Room,Closed Press,,,FALSE,,FALSE
6/26/18,12:00:00,12:00 PM,2018,June,26,Tuesday,President Schedule,The President has lunch with Members of Congress,Cabinet Room,Closed Press,,,FALSE,,FALSE
6/26/18,13:30:00,1:30 PM,2018,June,26,Tuesday,President Schedule,The President meets with the Governor of West Virginia,Oval Office,Closed Press,,,FALSE,,FALSE
6/26/18,15:30:00,3:30 PM,2018,June,26,Tuesday,President Schedule,The President presents the Medal of Honor (Pre-set 12:45PM | Final Gather 3:05PM Palm Room Doors),East Room,Pre-credentialed media,,,FALSE,,TRUE
6/25/18,09:00:00,9:00 AM,2018,June,25,Monday,President Schedule,In-Town Pool Call Time,,In-Town Pool,,,,21,FALSE
6/25/18,11:45:00,11:45 AM,2018,June,25,Monday,President Schedule,The President meets with the Secretary of State,Oval Office,Closed Press,,,FALSE,,FALSE
6/25/18,14:00:00,2:00 PM,2018,June,25,Monday,President Schedule,The President and THE FIRST LADY participate in the arrival of Their Majesties King Abdullah II bin Al-Hussein and Queen Rania Al Abdullah of the Hashemite Kingdom of Jordan,South Portico,In-House Pool,,,FALSE,,FALSE
6/25/18,14:10:00,2:10 PM,2018,June,25,Monday,President Schedule,The President and THE FIRST LADY meet with Their Majesties King Abdullah II bin Al-Hussein and Queen Rania Al Abdullah of the Hashemite Kingdom of Jordan,Oval Office,In-House Pool Spray,,https://factba.se/transcript/donald-trump-remarks-king-abdullah-ii-jordan-june-25-2018,FALSE,,FALSE
6/25/18,14:30:00,2:30 PM,2018,June,25,Monday,President Schedule,The President participates in an expanded bilateral meeting with His Majesty King Abdullah II bin Al-Hussein of the Hashemite Kingdom of Jordan,Cabinet Room,Closed Press,,,FALSE,,FALSE
6/25/18,15:10:00,3:10 PM,2018,June,25,Monday,President Schedule,The President participates in the departure of His Majesty King Abdullah II bin Al-Hussein of the Hashemite Kingdom of Jordan,West Wing Lobby,Closed Press,,,FALSE,,FALSE
6/25/18,15:30:00,3:30 PM,2018,June,25,Monday,President Schedule,Out-of-Town Travel Pool Call Time,,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/25/18,15:30:00,3:30 PM,2018,June,25,Monday,Briefing Schedule,Press Briefing with Press Secretary Sarah Sanders,White House Briefing Room,On Camera,,,FALSE,,FALSE
6/25/18,17:05:00,5:05 PM,2018,June,25,Monday,President Schedule,The President departs the White House en route to Joint Base Andrews,South Lawn,Open Press,,,FALSE,,FALSE
6/25/18,17:15:00,5:15 PM,2018,June,25,Monday,President Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/25/18,17:25:00,5:25 PM,2018,June,25,Monday,President Schedule,"The President departs Washington, DC, en route to West Columbia, SC",Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/25/18,18:40:00,6:40 PM,2018,June,25,Monday,President Schedule,The President arrives at Columbia Metropolitan Airport,"Columbia Metropolitan Airport, West Columbia, SC",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/25/18,18:50:00,6:50 PM,2018,June,25,Monday,President Schedule,The President departs Columbia Metropolitan Airport en route to Airport High School,"Columbia Metropolitan Airport, West Columbia, SC",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/25/18,18:55:00,6:55 PM,2018,June,25,Monday,President Schedule,The President arrives at Airport High School,"Airport High School, West Columbia, SC",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/25/18,19:00:00,7:00 PM,2018,June,25,Monday,President Schedule,The President participates in the McMaster for Governor Rally,"Airport High School, West Columbia, SC",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/25/18,20:05:00,8:05 PM,2018,June,25,Monday,President Schedule,The President departs Airport High School en route to Columbia Metropolitan Airport,"Airport High School, West Columbia, SC",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/25/18,20:10:00,8:10 PM,2018,June,25,Monday,President Schedule,The President arrives at Columbia Metropolitan Airport,"Columbia Metropolitan Airport, West Columbia, SC",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/25/18,20:20:00,8:20 PM,2018,June,25,Monday,President Schedule,"The President departs West Columbia, SC, en route to Washington, DC","Columbia Metropolitan Airport, West Columbia, SC",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/25/18,21:35:00,9:35 PM,2018,June,25,Monday,President Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/25/18,21:45:00,9:45 PM,2018,June,25,Monday,President Schedule,The President departs Joint Base Andrews en route to the White House,Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/25/18,21:55:00,9:55 PM,2018,June,25,Monday,President Schedule,The President arrives at the White House,South Lawn,Open Press,,,FALSE,,TRUE
6/24/18,,,2018,June,24,Sunday,President Schedule,The President has no public events scheduled.,"Washington, DC",,,,,3,FALSE
6/24/18,09:15:00,9:15 AM,2018,June,24,Sunday,President Schedule,In-Town Travel Pool Call Time,,In-Town Travel Pool,,,FALSE,,FALSE
6/24/18,11:20:00,11:20 AM,2018,June,24,Sunday,Pool Report Schedule,"The President goes to Trump National Golf Club in Potomac Falls, VA (11:22 am - 3:45 pm)","Trump National Golf Club, Potomac Falls, VA",,,,FALSE,,TRUE
6/23/18,08:00:00,8:00 AM,2018,June,23,Saturday,President Schedule,Out-of-Town Travel Pool Call Time,,Out-of-Town Travel Pool,,,,19,FALSE
6/23/18,08:30:00,8:30 AM,2018,June,23,Saturday,President Schedule,In-Town Travel Pool Call Time,,In-Town Travel Pool,,,FALSE,,FALSE
6/23/18,09:00:00,9:00 AM,2018,June,23,Saturday,President Schedule,The President departs the White House en route to Joint Base Andrews,South Lawn,Open Press,,,FALSE,,FALSE
6/23/18,09:10:00,9:10 AM,2018,June,23,Saturday,President Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,09:20:00,9:20 AM,2018,June,23,Saturday,President Schedule,"The President departs Washington, DC, en route to Las Vegas, NV",Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,13:50:00,1:50 PM,2018,June,23,Saturday,President Schedule,The President arrives at McCarran International Airport (10:50 AM Local),"McCarran International Airport, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,14:00:00,2:00 PM,2018,June,23,Saturday,President Schedule,The President departs McCarran International Airport en route to Suncoast Hotel & Casino (11:00 AM Local),"McCarran International Airport, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,14:20:00,2:20 PM,2018,June,23,Saturday,President Schedule,The President arrives at Suncoast Hotel & Casino (11:20 AM Local),"Suncoast Hotel & Casino, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,14:45:00,2:45 PM,2018,June,23,Saturday,President Schedule,The President hosts a roundtable with supporters (11:45 AM Local),"Suncoast Hotel & Casino, Las Vegas, NV",Closed Press,,,FALSE,,FALSE
6/23/18,15:15:00,3:15 PM,2018,June,23,Saturday,President Schedule,The President delivers remarks at the Nevada Republican Party Convention (12:15 PM Local),"Suncoast Hotel & Casino, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,15:50:00,3:50 PM,2018,June,23,Saturday,President Schedule,The President departs the Suncoast Hotel & Casino en route to the South Point Hotel Casino and Spa (12:50 PM Local),"Suncoast Hotel & Casino, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,16:15:00,4:15 PM,2018,June,23,Saturday,President Schedule,The President arrives at the South Point Hotel Casino and Spa (1:15 PM Local),"South Point Hotel Casino and Spa, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,16:20:00,4:20 PM,2018,June,23,Saturday,President Schedule,The President hosts a roundtable discussion on tax reform (1:20 PM Local),"South Point Hotel Casino and Spa, Las Vegas, NV",Out-of-Town Travel Pool,,https://factba.se/transcript/donald-trump-remarks-tax-reform-roundtable-las-vegas-june-23-2018,FALSE,,FALSE
